,precision,recall,f1-score,support
No Match,0.937794533459001,0.7386785449146251,0.8264119601328903,1347.0
Match,0.3669064748201439,0.7555555555555555,0.4939467312348668,270.0
accuracy,0.7414965986394558,0.7414965986394558,0.7414965986394558,0.7414965986394558
macro avg,0.6523505041395724,0.7471170502350903,0.6601793456838786,1617.0
weighted avg,0.8424699967660563,0.7414965986394558,0.7708982855488048,1617.0
