Metric,Value
F1-score,0.7708982855488048
Accuracy,0.7414965986394558
Precision,0.8424699967660563
Recall,0.7414965986394558
ROC-AUC,0.8259616706535786
True Negatives,995.0
False Positives,352.0
False Negatives,66.0
True Positives,204.0
Specificity,0.7386785449146251
Sensitivity,0.7555555555555555
