Model,Val_F1,Test_F1,Test_Prec,Test_Rec,Test_AUC,Threshold
Logistic Regression,0.3256198347107438,0.316848281642917,0.2047670639219935,0.7,0.6159567001403736,0.39
Decision Tree,0.28850174216027874,0.29014084507042254,0.1791304347826087,0.762962962962963,0.5438923982291329,0.23
Random Forest,0.38148984198645597,0.34723788049605414,0.24959481361426256,0.5703703703703704,0.6585519922254616,0.35000000000000003
XGBoost,0.3720452209660843,0.34196891191709844,0.23741007194244604,0.6111111111111112,0.6628549832631466,0.14
LightGBM,0.4134366925064599,0.3657587548638132,0.281437125748503,0.5222222222222223,0.6725704567541302,0.17
CatBoost,0.383739837398374,0.3497615262321145,0.3064066852367688,0.4074074074074074,0.665446496058741,0.28
