Model,Val_F1,Val_Prec,Val_Rec,Val_AUC,Threshold
LightGBM,0.3945435466946485,0.2752562225475842,0.6962962962962963,0.7084575099881223,0.08
CatBoost,0.39424141749723146,0.2812006319115324,0.6592592592592592,0.7004211208292841,0.2
XGBoost,0.38403451995685006,0.2709284627092846,0.6592592592592592,0.7027561818378145,0.15000000000000002
Random Forest,0.38267148014440433,0.28342245989304815,0.5888888888888889,0.695459453622719,0.36000000000000004
Logistic Regression,0.3254177660510114,0.21337946943483277,0.6851851851851852,0.6117346938775511,0.41000000000000003
Decision Tree,0.2940785096473719,0.1792376317923763,0.8185185185185185,0.5493102796674225,0.18000000000000002
